prefix,company
54886900,SAMSUNG
551616,WOORI
55241200,SAMSUNG
943186,HYUNDAI
943187,HYUNDAI
943188,HYUNDAI
943189,HYUNDAI
943190,HYUNDAI
949141,KOOKMIN
949142,KOOKMIN
950026,WOORI
32736401,HYUNDAI
420628,KOOKMIN
420629,KOOKMIN
421029,KOOKMIN
421038,KOOKMIN
421059,KOOKMIN
42110600,HYUNDAI
421850,KOOKMIN
434480,KOOKMIN
448797,KOOKMIN
463652,KOOKMIN
463654,KOOKMIN
46408200,HYUNDAI
464097,KOOKMIN
464431,KOOKMIN
464432,KOOKMIN
464441,KOOKMIN
464456,KOOKMIN
464485,KOOKMIN
465237,KOOKMIN
465283,KOOKMIN
46672100,KOOKMIN
467124,KOOKMIN
484404,KOOKMIN
484464,KOOKMIN
49300300,KOOKMIN
49300301,KOOKMIN
49300304,KOOKMIN
49300305,KOOKMIN
49300306,KOOKMIN
49300307,KOOKMIN
49300308,KOOKMIN
49300309,KOOKMIN
49415300,KOOKMIN
49415301,KOOKMIN
49415302,KOOKMIN
49415303,KOOKMIN
49415304,KOOKMIN
49415305,KOOKMIN
49415306,KOOKMIN
49415307,KOOKMIN
49415308,KOOKMIN
49415309,KOOKMIN
49415310,KOOKMIN
49415311,KOOKMIN
49415312,KOOKMIN
49415313,KOOKMIN
49415314,KOOKMIN
49415315,KOOKMIN
49415316,KOOKMIN
49415317,KOOKMIN
49415318,KOOKMIN
49415319,KOOKMIN
49415320,KOOKMIN
49415321,KOOKMIN
49415322,KOOKMIN
49415323,KOOKMIN
49415324,KOOKMIN
49415325,KOOKMIN
49415326,KOOKMIN
49415327,KOOKMIN
49415328,KOOKMIN
49415329,KOOKMIN
49415330,KOOKMIN
49415331,KOOKMIN
49415332,KOOKMIN
49415333,KOOKMIN
49415334,KOOKMIN
534957,WOORI
539511,SHINHAN
541456,KOOKMIN
543644,KOOKMIN
544847,KOOKMIN
544924,KOOKMIN
548134,WOORI
550537,KOOKMIN
941155,SHINHAN
941156,SHINHAN
943191,HYUNDAI
943192,HYUNDAI
943670,KOOKMIN
950021,WOORI
950027,WOORI
952013,WOORI
952016,WOORI
952017,WOORI
952062,WOORI
952063,WOORI
952064,WOORI
955000,WOORI
971013,SAMSUNG
40706700,SHINHAN
40706701,SHINHAN
40706702,SHINHAN
40706703,SHINHAN
40706704,SHINHAN
40706705,SHINHAN
40706706,SHINHAN
40706707,SHINHAN
411142,HYUNDAI
414324,HYUNDAI
414493,HYUNDAI
425326,SHINHAN
444350,KOOKMIN
449819,HYUNDAI
450654,SHINHAN
46676200,SHINHAN
46676201,SHINHAN
46676202,SHINHAN
46676203,SHINHAN
46676204,SHINHAN
46676205,SHINHAN
46676206,SHINHAN
46676207,SHINHAN
46676208,SHINHAN
46676209,SHINHAN
46676210,SHINHAN
46676211,SHINHAN
46676212,SHINHAN
46676213,SHINHAN
46676214,SHINHAN
473183,SHINHAN
473203,SHINHAN
473301,SHINHAN
481943,SHINHAN
486901,SHINHAN
488902,HYUNDAI
491936,SHINHAN
49300310,KOOKMIN
515395,SHINHAN
544643,KOOKMIN
544822,KOOKMIN
545355,KOOKMIN
546198,KOOKMIN
548180,SHINHAN
559976,SHINHAN
941157,SHINHAN
941158,SHINHAN
941159,SHINHAN
952011,WOORI
